Aminoglucósidos	APH-Stph
Aminoglucósidos	Aac
Aminoglucósidos	Aac-IIIa
Aminoglucósidos	Aac2-Ia
Aminoglucósidos	Aac2-Ib
Aminoglucósidos	Aac2-Ic
Aminoglucósidos	Aac2-Id
Aminoglucósidos	Aac2-Ie
Aminoglucósidos	Aac3-I
Aminoglucósidos	Aac3-I
Aminoglucósidos	Aac3-IIIb
Aminoglucósidos	Aac3-IIIc
Aminoglucósidos	Aac3-IIa
Aminoglucósidos	Aac3-IIc
Aminoglucósidos	Aac3-IId
Aminoglucósidos	Aac3-IIe
Aminoglucósidos	Aac3-IXa
Aminoglucósidos	Aac3-Ib
Aminoglucósidos	Aac3-Ib-Aac6-Ib
Aminoglucósidos	Aac3-Ic
Aminoglucósidos	Aac3-Id
Aminoglucósidos	Aac3-If
Aminoglucósidos	Aac3-Ig
Aminoglucósidos	Aac3-Ih
Aminoglucósidos	Aac3-Ii
Aminoglucósidos	Aac3-Ik
Aminoglucósidos	Aac3-Iva
Aminoglucósidos	Aac3-VII
Aminoglucósidos	Aac3-VIa
Aminoglucósidos	Aac3-Vb
Aminoglucósidos	Aac3-Xa
Aminoglucósidos	Aac6
Aminoglucósidos	Aac6-31
Aminoglucósidos	Aac6-32
Aminoglucósidos	Aac6-33
Aminoglucósidos	Aac6-Aph2
Aminoglucósidos	Aac6-I30
Aminoglucósidos	Aac6-IIa
Aminoglucósidos	Aac6-IIb
Aminoglucósidos	Aac6-IIc
Aminoglucósidos	Aac6-IL
Aminoglucósidos	Aac6-Ia
Aminoglucósidos	Aac6-Iaa
Aminoglucósidos	Aac6-Iad
Aminoglucósidos	Aac6-Iae
Aminoglucósidos	Aac6-Iaf
Aminoglucósidos	Aac6-Iai
Aminoglucósidos	Aac6-Ib
Aminoglucósidos	Aac6-Ic
Aminoglucósidos	Aac6-Id
Aminoglucósidos	Aac6-If
Aminoglucósidos	Aac6-Ig
Aminoglucósidos	Aac6-Ih
Aminoglucósidos	Aac6-Ii
Aminoglucósidos	Aac6-Ij
Aminoglucósidos	Aac6-Ik
Aminoglucósidos	Aac6-Im
Aminoglucósidos	Aac6-Iq
Aminoglucósidos	Aac6-Ir
Aminoglucósidos	Aac6-Is
Aminoglucósidos	Aac6-It
Aminoglucósidos	Aac6-Iu
Aminoglucósidos	Aac6-Iv
Aminoglucósidos	Aac6-Iw
Aminoglucósidos	Aac6-Iy
Aminoglucósidos	Aac6-Iz
Aminoglucósidos	Aac6Ib-cr
Aminoglucósidos	Aac8
Aminoglucósidos	AacA29b
Aminoglucósidos	AacA4
Aminoglucósidos	AacA43
Aminoglucósidos	Aad9
Aminoglucósidos	AadA1
Aminoglucósidos	AadA1-pm
Aminoglucósidos	AadA10
Aminoglucósidos	AadA11
Aminoglucósidos	AadA12
Aminoglucósidos	AadA13
Aminoglucósidos	AadA14
Aminoglucósidos	AadA15
Aminoglucósidos	AadA16
Aminoglucósidos	AadA17
Aminoglucósidos	AadA2
Aminoglucósidos	AadA21
Aminoglucósidos	AadA22
Aminoglucósidos	AadA23
Aminoglucósidos	AadA24
Aminoglucósidos	AadA24
Aminoglucósidos	AadA3
Aminoglucósidos	AadA4
Aminoglucósidos	AadA5
Aminoglucósidos	AadA6
Aminoglucósidos	AadA7
Aminoglucósidos	AadA8
Aminoglucósidos	AadA8b
Aminoglucósidos	AadA9
